"DATE","TIME PERIOD","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.AT.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.BE.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.DE.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.ES.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.FI.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.FR.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.GR.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.IE.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.IT.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.NL.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)","Loans granted to households, ratio of adjusted gross disposable income (QSA.Q.N.PT.W0.S1M.S1.N.L.LE.F4.T._Z.XDC_R_B6GA_CY._T.S.V.N._T)"
"1999-12-31","1999Q4","69.29","66.36","104.89","63.99","57.47","56.29","14.57","","29.35","153.76","71.90"
"2000-03-31","2000Q1","70.04","66.68","104.38","65.01","57.27","56.39","14.94","","30.01","153.57","74.25"
"2000-06-30","2000Q2","70.58","65.74","104.93","66.43","57.46","56.55","15.89","","30.42","155.84","76.39"
"2000-09-30","2000Q3","71.43","65.10","105.05","66.74","58.34","56.83","17.28","","30.99","158.60","77.86"
"2000-12-31","2000Q4","70.30","64.87","105.58","68.65","59.21","56.32","18.73","","32.13","160.66","80.91"
"2001-03-31","2001Q1","70.93","63.88","104.56","69.25","60.68","56.20","19.77","","32.20","161.51","81.57"
"2001-06-30","2001Q2","72.72","63.53","104.04","70.38","60.42","56.36","21.03","","32.98","161.74","83.19"
"2001-09-30","2001Q3","74.67","61.24","103.86","70.65","61.02","56.24","22.49","","33.27","161.92","85.32"
"2001-12-31","2001Q4","72.15","61.10","103.12","71.65","61.02","56.30","24.34","","34.11","162.69","87.77"
"2002-03-31","2002Q1","72.37","60.31","102.64","73.20","59.94","56.37","25.60","104.37","34.63","163.89","88.92"
"2002-06-30","2002Q2","72.68","61.26","102.76","75.31","62.46","56.56","26.58","103.89","35.27","164.93","89.42"
"2002-09-30","2002Q3","73.78","61.46","102.81","77.08","63.69","56.93","28.14","106.54","35.65","167.71","90.64"
"2002-12-31","2002Q4","74.23","62.74","103.24","78.48","64.60","57.03","29.52","108.90","36.34","169.53","93.43"
"2003-03-31","2003Q1","74.73","62.83","102.12","79.90","65.27","57.14","30.23","109.81","36.62","172.24","94.01"
"2003-06-30","2003Q2","74.74","63.56","101.80","82.94","66.20","57.60","31.94","112.86","37.49","175.38","95.75"
"2003-09-30","2003Q3","74.23","63.01","101.66","84.13","68.31","58.44","32.92","117.25","37.80","179.02","97.18"
"2003-12-31","2003Q4","73.92","63.81","101.45","86.94","69.44","59.35","34.28","121.84","38.76","182.41","98.84"
"2004-03-31","2004Q1","74.28","64.64","100.25","89.26","70.88","59.75","35.58","126.32","39.32","184.71","100.16"
"2004-06-30","2004Q2","75.68","65.17","100.03","93.23","72.42","60.98","37.01","132.68","40.39","185.48","102.74"
"2004-09-30","2004Q3","76.42","66.04","100.24","95.35","73.85","61.54","38.92","140.84","41.02","189.77","104.28"
"2004-12-31","2004Q4","76.15","67.42","99.75","98.62","74.92","62.14","41.55","146.14","42.25","191.62","105.63"
"2005-03-31","2005Q1","76.15","68.35","98.57","101.29","76.33","62.90","43.58","149.77","43.08","194.24","106.20"
"2005-06-30","2005Q2","76.55","70.31","98.33","105.26","78.82","64.28","46.24","154.97","44.55","197.73","108.12"
"2005-09-30","2005Q3","77.30","71.00","97.95","106.90","81.03","65.64","49.06","162.29","45.51","199.89","109.56"
"2005-12-31","2005Q4","82.08","72.28","97.46","111.13","83.69","66.91","52.33","168.48","46.64","202.81","111.34"
"2006-03-31","2006Q1","82.91","73.17","96.74","114.44","84.01","67.86","54.30","175.11","47.57","205.17","113.10"
"2006-06-30","2006Q2","83.77","73.43","96.23","119.46","87.19","69.23","56.26","181.37","48.75","207.25","113.29"
"2006-09-30","2006Q3","84.35","74.52","95.92","121.48","88.94","69.94","58.18","184.17","49.41","211.59","115.99"
"2006-12-31","2006Q4","83.13","75.57","94.91","125.28","90.64","70.56","59.48","191.72","50.82","214.65","118.67"
"2007-03-31","2007Q1","84.04","76.03","93.73","127.85","91.88","71.14","61.20","195.67","51.98","217.38","118.73"
"2007-06-30","2007Q2","82.73","77.12","93.11","131.54","92.57","72.21","62.87","198.59","52.82","218.72","121.17"
"2007-09-30","2007Q3","82.48","77.66","92.41","133.78","94.15","73.34","64.55","199.91","53.70","220.33","122.15"
"2007-12-31","2007Q4","82.80","78.45","91.64","133.54","94.75","74.38","67.52","200.59","54.81","219.38","123.87"
"2008-03-31","2008Q1","82.51","78.99","90.39","134.02","95.61","74.86","68.52","200.82","55.00","219.50","124.98"
"2008-06-30","2008Q2","81.72","79.47","89.60","135.09","96.35","75.49","69.63","199.90","55.61","218.50","126.82"
"2008-09-30","2008Q3","82.63","80.08","88.73","133.12","97.17","76.52","70.29","201.09","55.60","218.81","125.83"
"2008-12-31","2008Q4","83.65","80.56","88.50","132.28","96.28","77.34","70.36","198.90","55.98","219.05","124.66"
"2009-03-31","2009Q1","82.95","81.09","88.14","131.31","96.35","78.36","69.81","199.59","56.64","220.97","124.75"
"2009-06-30","2009Q2","82.70","82.26","88.55","132.00","97.42","78.95","69.97","203.50","58.57","221.13","124.80"
"2009-09-30","2009Q3","83.22","83.58","88.96","130.94","97.69","79.36","71.23","208.15","59.25","223.39","127.21"
"2009-12-31","2009Q4","83.33","82.43","88.39","131.71","98.56","80.88","70.98","211.43","59.92","234.84","125.82"
"2010-03-31","2010Q1","83.94","83.52","87.77","130.51","97.83","80.84","71.41","210.93","60.96","234.84","125.26"
"2010-06-30","2010Q2","85.70","84.11","87.74","132.02","98.84","81.10","81.91","207.01","61.99","240.65","125.63"
"2010-09-30","2010Q3","85.90","85.03","87.44","130.33","99.78","81.32","85.18","206.83","62.58","240.98","125.12"
"2010-12-31","2010Q4","86.84","86.02","86.79","130.49","100.34","82.73","88.49","206.45","62.87","242.92","125.59"
"2011-03-31","2011Q1","85.96","86.64","85.92","128.82","100.39","83.18","90.78","208.23","63.00","243.07","125.35"
"2011-06-30","2011Q2","87.37","87.89","85.42","128.65","100.50","83.98","91.18","207.89","63.22","239.97","125.82"
"2011-09-30","2011Q3","88.41","88.44","85.40","126.59","101.21","84.60","91.29","207.18","63.11","240.82","126.36"
"2011-12-31","2011Q4","87.35","90.37","85.03","125.90","101.46","85.39","92.98","202.57","62.86","239.79","125.47"
"2012-03-31","2012Q1","86.05","90.71","84.03","125.03","102.17","85.43","94.20","195.34","62.69","238.24","123.84"
"2012-06-30","2012Q2","84.97","91.16","83.95","126.69","102.97","85.64","97.80","192.51","63.00","238.82","123.44"
"2012-09-30","2012Q3","84.02","90.24","83.81","126.22","103.40","85.48","98.99","188.70","63.24","238.18","122.21"
"2012-12-31","2012Q4","83.72","90.68","83.75","127.08","103.75","86.25","99.46","185.52","63.99","237.19","122.42"
"2013-03-31","2013Q1","83.72","90.75","83.60","125.34","103.43","86.37","99.92","192.06","63.84","236.84","121.57"
"2013-06-30","2013Q2","83.98","91.61","83.53","124.31","103.94","87.54","99.87","189.01","64.02","235.56","120.36"
"2013-09-30","2013Q3","85.25","92.12","83.49","122.20","104.24","88.09","99.28","188.86","63.30","235.71","119.49"
"2013-12-31","2013Q4","84.61","92.28","83.17","120.42","104.13","88.19","101.62","184.15","62.72","231.18","118.90"
"2014-03-31","2014Q1","85.07","92.41","82.62","119.20","104.77","88.57","102.66","184.41","62.33","230.18","117.49"
"2014-06-30","2014Q2","85.13","93.43","82.47","119.73","105.57","88.70","101.94","169.99","62.28","227.88","116.19"
"2014-09-30","2014Q3","85.17","94.40","82.44","117.38","106.09","88.68","99.35","171.26","61.79","226.89","114.81"
"2014-12-31","2014Q4","84.75","96.50","82.01","114.68","105.83","88.98","98.27","166.85","61.71","226.44","114.32"
"2015-03-31","2015Q1","86.05","97.40","81.63","112.26","105.69","88.93","95.98","163.51","61.52","227.63","112.15"
"2015-06-30","2015Q2","85.57","97.47","81.55","110.72","106.42","89.42","95.67","159.66","61.39","227.05","109.90"
"2015-09-30","2015Q3","85.42","98.17","81.67","107.77","107.06","90.08","94.87","154.09","61.27","225.42","108.94"
"2015-12-31","2015Q4","85.46","98.97","81.39","106.67","107.82","90.50","94.35","153.43","60.98","226.02","107.42"
"2016-03-31","2016Q1","84.93","99.16","81.04","104.95","107.64","90.02","94.58","147.13","60.92","225.57","106.58"
"2016-06-30","2016Q2","84.57","99.82","81.23","104.86","108.97","90.30","94.11","142.56","60.93","225.16","105.74"
"2016-09-30","2016Q3","85.25","99.41","81.55","103.07","110.31","90.98","94.46","142.67","60.75","225.22","103.91"
"2016-12-31","2016Q4","84.86","99.77","81.48","101.80","110.76","92.13","92.06","138.30","60.85","223.20","101.84"
"2017-03-31","2017Q1","84.71","100.14","81.05","100.78","111.12","92.01","90.32","158.34","60.91","223.86","101.57"
"2017-06-30","2017Q2","84.14","100.38","81.20","100.76","111.79","93.06","88.59","153.37","60.65","223.22","100.35"
"2017-09-30","2017Q3","84.14","100.96","81.36","98.81","112.32","93.56","87.76","149.76","60.46","223.78","100.87"
"2017-12-31","2017Q4","84.04","100.70","81.25","97.71","113.10","94.34","88.09","147.03","60.41","224.48","99.45"
"2018-03-31","2018Q1","83.06","99.97","80.11","96.81","113.28","94.73","89.44","143.95","60.18","223.95","98.29"
"2018-06-30","2018Q2","82.85","100.97","80.00","97.52","114.14","94.99","88.71","137.58","60.67","222.19","97.60"
"2018-09-30","2018Q3","83.35","101.17","80.21","95.85","115.08","95.75","89.33","138.23","60.62","220.00","96.66"
"2018-12-31","2018Q4","83.34","101.17","80.14","94.72","114.39","96.55","90.38","135.18","60.63","218.10","95.31"
"2019-03-31","2019Q1","83.17","101.72","80.46","93.56","114.83","95.41","88.39","129.27","60.78","216.07","94.63"
"2019-06-30","2019Q2","83.79","101.25","81.06","92.99","114.61","96.44","85.97","126.83","61.06","213.32","93.55"
"2019-09-30","2019Q3","84.41","101.53","81.46","91.08","113.54","97.28","83.39","125.06","61.16","211.83","92.77"
"2019-12-31","2019Q4","84.15","103.06","81.73","89.95","114.64","98.82","81.88","103.62","61.61","209.89","91.81"
"2020-03-31","2020Q1","84.69","102.69","81.51","88.97","114.90","99.00","81.29","99.89","61.66","208.54","91.24"
"2020-06-30","2020Q2","85.73","104.49","82.49","91.88","116.73","99.86","81.86","99.80","62.81","209.49","92.51"
"2020-09-30","2020Q3","86.23","104.62","83.83","90.51","118.05","101.32","81.21","98.55","63.36","208.77","93.23"
"2020-12-31","2020Q4","86.08","105.22","84.76","91.23","118.76","101.80","82.07","98.40","63.73","209.32","94.33"
"2021-03-31","2021Q1","85.54","106.40","85.12","90.69","118.73","101.78","80.58","99.88","64.01","209.92","94.70"
"2021-06-30","2021Q2","84.81","105.67","85.30","90.70","118.90","101.50","80.43","97.83","63.57","207.84","93.76"
"2021-09-30","2021Q3","85.59","105.64","86.09","88.67","118.89","102.08","78.80","95.31","63.11","207.49","93.53"
"2021-12-31","2021Q4","86.14","105.32","86.06","87.32","119.67","102.22","76.30","93.27","63.01","206.85","92.81"
"2022-03-31","2022Q1","85.03","105.16","85.49","86.32","119.82","102.11","76.83","100.48","62.37","206.15","91.91"
"2022-06-30","2022Q2","84.57","103.19","84.85","86.70","119.54","102.73","77.08","99.95","62.13","205.35","90.92"
"2022-09-30","2022Q3","82.23","101.94","83.70","84.82","119.59","102.70","74.01","97.30","61.49","202.23","90.38"
"2022-12-31","2022Q4","80.14","100.88","82.07","82.92","118.57","101.67","66.72","93.46","60.67","197.30","87.83"
"2023-03-31","2023Q1","77.47","98.25","80.55","80.42","116.17","100.02","64.29","86.69","59.27","193.25","85.79"
"2023-06-30","2023Q2","75.52","96.38","79.27","79.00","114.73","98.26","62.40","87.52","58.23","189.55","83.24"
"2023-09-30","2023Q3","74.97","95.15","78.50","75.59","113.62","96.71","62.21","85.53","57.57","187.73","81.29"
"2023-12-31","2023Q4","73.60","94.89","77.75","73.48","112.39","95.27","60.52","82.06","56.91","184.28","80.01"
"2024-03-31","2024Q1","71.95","94.67","76.86","71.58","112.15","93.53","59.86","78.63","56.12","182.57","78.25"
"2024-06-30","2024Q2","70.42","94.63","76.33","71.53","111.67","92.28","59.16","77.68","55.70","181.92","77.39"
"2024-09-30","2024Q3","69.43","94.51","75.84","69.60","110.73","91.37","57.86","76.66","55.34","182.52","76.45"
"2024-12-31","2024Q4","67.98","94.84","75.29","68.84","109.41","90.94","58.17","74.60","55.47","180.55","75.57"
"2025-03-31","2025Q1","67.30","94.74","74.91","68.31","108.81","90.46","58.60","73.90","55.31","179.98","75.89"
"2025-06-30","2025Q2","67.33","95.03","74.74","69.05","108.19","90.38","57.75","82.50","55.34","178.89","76.59"
"2025-09-30","2025Q3","67.86","95.02","74.70","67.88","108.19","90.46","57.72","82.02","55.22","179.27","76.99"
"2025-12-31","2025Q4","67.59","","74.38","67.83","","","","","55.55","","77.66"
