country,quarter,house_price_index
AT,2002Q1,93.2512
AT,2002Q2,90.9862
AT,2002Q3,93.9129
AT,2002Q4,91.1541
AT,2003Q1,92.1509
AT,2003Q2,91.0898
AT,2003Q3,89.9799
AT,2003Q4,92.0972
AT,2004Q1,84.6138
AT,2004Q2,88.3421
AT,2004Q3,88.3771
AT,2004Q4,89.6419
AT,2005Q1,89.2814
AT,2005Q2,89.8423
AT,2005Q3,89.6269
AT,2005Q4,91.5684
AT,2006Q1,92.3388
AT,2006Q2,92.2863
AT,2006Q3,92.7767
AT,2006Q4,92.3875
AT,2007Q1,94.4685
AT,2007Q2,95.3571
AT,2007Q3,95.7832
AT,2007Q4,93.1338
AT,2008Q1,93.1433
AT,2008Q2,91.1409
AT,2008Q3,92.5826
AT,2008Q4,94.0576
AT,2009Q1,96.2518
AT,2009Q2,96.1505
AT,2009Q3,95.491
AT,2009Q4,95.5922
AT,2010Q1,100.2743
AT,2010Q2,99.4891
AT,2010Q3,99.7202
AT,2010Q4,100.5169
AT,2011Q1,101.9272
AT,2011Q2,97.6322
AT,2011Q3,102.1369
AT,2011Q4,101.9875
AT,2012Q1,110.004
AT,2012Q2,110.3612
AT,2012Q3,111.6306
AT,2012Q4,110.584
AT,2013Q1,112.5848
AT,2013Q2,113.4433
AT,2013Q3,114.7339
AT,2013Q4,113.4531
AT,2014Q1,115.3871
AT,2014Q2,116.8502
AT,2014Q3,115.5822
AT,2014Q4,114.5825
AT,2015Q1,118.5001
AT,2015Q2,117.3639
AT,2015Q3,119.1789
AT,2015Q4,122.3724
AT,2016Q1,126.8528
AT,2016Q2,127.7763
AT,2016Q3,127.0245
AT,2016Q4,126.2187
AT,2017Q1,127.1765
AT,2017Q2,129.9192
AT,2017Q3,129.7336
AT,2017Q4,129.3309
AT,2018Q1,134.122
AT,2018Q2,133.7521
AT,2018Q3,137.1799
AT,2018Q4,135.9921
AT,2019Q1,138.2867
AT,2019Q2,138.8119
AT,2019Q3,138.3395
AT,2019Q4,138.2725
AT,2020Q1,140.347
AT,2020Q2,144.5
AT,2020Q3,149.191
AT,2020Q4,150.1949
AT,2021Q1,155.5338
AT,2021Q2,157.5014
AT,2021Q3,159.7536
AT,2021Q4,162.4165
AT,2022Q1,165.1251
AT,2022Q2,165.1929
AT,2022Q3,161.1713
AT,2022Q4,154.5475
AT,2023Q1,151.0834
AT,2023Q2,148.334
AT,2023Q3,146.5346
AT,2023Q4,143.1631
AT,2024Q1,141.1147
AT,2024Q2,140.1282
AT,2024Q3,139.9646
AT,2024Q4,138.9802
AT,2025Q1,137.3581
AT,2025Q2,135.9089
AT,2025Q3,136.7011
AT,2025Q4,136.5423
BE,2002Q1,69.7482
BE,2002Q2,70.8455
BE,2002Q3,72.4755
BE,2002Q4,73.334
BE,2003Q1,73.7269
BE,2003Q2,74.3877
BE,2003Q3,75.9785
BE,2003Q4,77.2544
BE,2004Q1,78.8499
BE,2004Q2,78.465
BE,2004Q3,80.9843
BE,2004Q4,82.4761
BE,2005Q1,85.6401
BE,2005Q2,86.6113
BE,2005Q3,88.8244
BE,2005Q4,90.7473
BE,2006Q1,92.2248
