quarter,country,leverage_ratio
2002Q1,AT,72.37
2002Q2,AT,72.68
2002Q3,AT,73.78
2002Q4,AT,74.23
2003Q1,AT,74.73
2003Q2,AT,74.74
2003Q3,AT,74.23
2003Q4,AT,73.92
2004Q1,AT,74.28
2004Q2,AT,75.68
2004Q3,AT,76.42
2004Q4,AT,76.15
2005Q1,AT,76.15
2005Q2,AT,76.55
2005Q3,AT,77.3
2005Q4,AT,82.08
2006Q1,AT,82.91
2006Q2,AT,83.77
2006Q3,AT,84.35
2006Q4,AT,83.13
2007Q1,AT,84.04
2007Q2,AT,82.73
2007Q3,AT,82.48
2007Q4,AT,82.8
2008Q1,AT,82.51
2008Q2,AT,81.72
2008Q3,AT,82.63
2008Q4,AT,83.65
2009Q1,AT,82.95
2009Q2,AT,82.7
2009Q3,AT,83.22
2009Q4,AT,83.33
2010Q1,AT,83.94
2010Q2,AT,85.7
2010Q3,AT,85.9
2010Q4,AT,86.84
2011Q1,AT,85.96
2011Q2,AT,87.37
2011Q3,AT,88.41
2011Q4,AT,87.35
2012Q1,AT,86.05
2012Q2,AT,84.97
2012Q3,AT,84.02
2012Q4,AT,83.72
2013Q1,AT,83.72
2013Q2,AT,83.98
2013Q3,AT,85.25
2013Q4,AT,84.61
2014Q1,AT,85.07
2014Q2,AT,85.13
2014Q3,AT,85.17
2014Q4,AT,84.75
2015Q1,AT,86.05
2015Q2,AT,85.57
2015Q3,AT,85.42
2015Q4,AT,85.46
2016Q1,AT,84.93
2016Q2,AT,84.57
2016Q3,AT,85.25
2016Q4,AT,84.86
2017Q1,AT,84.71
2017Q2,AT,84.14
2017Q3,AT,84.14
2017Q4,AT,84.04
2018Q1,AT,83.06
2018Q2,AT,82.85
2018Q3,AT,83.35
2018Q4,AT,83.34
2019Q1,AT,83.17
2019Q2,AT,83.79
2019Q3,AT,84.41
2019Q4,AT,84.15
2020Q1,AT,84.69
2020Q2,AT,85.73
2020Q3,AT,86.23
2020Q4,AT,86.08
2021Q1,AT,85.54
2021Q2,AT,84.81
2021Q3,AT,85.59
2021Q4,AT,86.14
2022Q1,AT,85.03
2022Q2,AT,84.57
2022Q3,AT,82.23
2022Q4,AT,80.14
2023Q1,AT,77.47
2023Q2,AT,75.52
2023Q3,AT,74.97
2023Q4,AT,73.6
2024Q1,AT,71.95
2024Q2,AT,70.42
2024Q3,AT,69.43
2024Q4,AT,67.98
2025Q1,AT,67.3
2025Q2,AT,67.33
2025Q3,AT,67.86
2025Q4,AT,67.59
2002Q1,BE,60.31
2002Q2,BE,61.26
2002Q3,BE,61.46
2002Q4,BE,62.74
2003Q1,BE,62.83
2003Q2,BE,63.56
2003Q3,BE,63.01
2003Q4,BE,63.81
2004Q1,BE,64.64
2004Q2,BE,65.17
2004Q3,BE,66.04
2004Q4,BE,67.42
2005Q1,BE,68.35
2005Q2,BE,70.31
2005Q3,BE,71.0
2005Q4,BE,72.28
2006Q1,BE,73.17
2006Q2,BE,73.43
2006Q3,BE,74.52
2006Q4,BE,75.57
2007Q1,BE,76.03
2007Q2,BE,77.12
2007Q3,BE,77.66
2007Q4,BE,78.45
2008Q1,BE,78.99
2008Q2,BE,79.47
2008Q3,BE,80.08
2008Q4,BE,80.56
2009Q1,BE,81.09
2009Q2,BE,82.26
2009Q3,BE,83.58
2009Q4,BE,82.43
2010Q1,BE,83.52
2010Q2,BE,84.11
2010Q3,BE,85.03
2010Q4,BE,86.02
2011Q1,BE,86.64
2011Q2,BE,87.89
2011Q3,BE,88.44
2011Q4,BE,90.37
2012Q1,BE,90.71
2012Q2,BE,91.16
2012Q3,BE,90.24
2012Q4,BE,90.68
2013Q1,BE,90.75
2013Q2,BE,91.61
2013Q3,BE,92.12
2013Q4,BE,92.28
2014Q1,BE,92.41
2014Q2,BE,93.43
2014Q3,BE,94.4
2014Q4,BE,96.5
2015Q1,BE,97.4
2015Q2,BE,97.47
2015Q3,BE,98.17
2015Q4,BE,98.97
2016Q1,BE,99.16
2016Q2,BE,99.82
2016Q3,BE,99.41
2016Q4,BE,99.77
2017Q1,BE,100.14
2017Q2,BE,100.38
2017Q3,BE,100.96
2017Q4,BE,100.7
2018Q1,BE,99.97
2018Q2,BE,100.97
2018Q3,BE,101.17
2018Q4,BE,101.17
2019Q1,BE,101.72
2019Q2,BE,101.25
2019Q3,BE,101.53
2019Q4,BE,103.06
2020Q1,BE,102.69
2020Q2,BE,104.49
2020Q3,BE,104.62
2020Q4,BE,105.22
2021Q1,BE,106.4
2021Q2,BE,105.67
2021Q3,BE,105.64
2021Q4,BE,105.32
2022Q1,BE,105.16
2022Q2,BE,103.19
2022Q3,BE,101.94
2022Q4,BE,100.88
2023Q1,BE,98.25
2023Q2,BE,96.38
2023Q3,BE,95.15
2023Q4,BE,94.89
2024Q1,BE,94.67
2024Q2,BE,94.63
2024Q3,BE,94.51
2024Q4,BE,94.84
2025Q1,BE,94.74
2025Q2,BE,95.03
2025Q3,BE,95.02
2025Q4,BE,
2002Q1,DE,102.64
2002Q2,DE,102.76
2002Q3,DE,102.81
2002Q4,DE,103.24
2003Q1,DE,102.12
2003Q2,DE,101.8
2003Q3,DE,101.66
2003Q4,DE,101.45
2004Q1,DE,100.25
2004Q2,DE,100.03
2004Q3,DE,100.24
2004Q4,DE,99.75
2005Q1,DE,98.57
2005Q2,DE,98.33
2005Q3,DE,97.95
2005Q4,DE,97.46
2006Q1,DE,96.74
2006Q2,DE,96.23
2006Q3,DE,95.92
2006Q4,DE,94.91
2007Q1,DE,93.73
2007Q2,DE,93.11
2007Q3,DE,92.41
2007Q4,DE,91.64
2008Q1,DE,90.39
2008Q2,DE,89.6
2008Q3,DE,88.73
2008Q4,DE,88.5
2009Q1,DE,88.14
2009Q2,DE,88.55
2009Q3,DE,88.96
2009Q4,DE,88.39
2010Q1,DE,87.77
2010Q2,DE,87.74
2010Q3,DE,87.44
2010Q4,DE,86.79
2011Q1,DE,85.92
