quarter,country,mortgage_lending_stock,gross_disposable_income_quarterly,gross_disposable_income_annual,mortgage_leverage_ratio
2003Q1,AT,36366.0,34042.3,140727.8,25.841376046523855
2003Q2,AT,36428.0,39205.5,141668.4,25.713567739877064
2003Q3,AT,38752.0,35229.1,143898.5,26.930093086446348
2003Q4,AT,39746.0,36603.0,145079.9,27.395938376025903
2004Q1,AT,40627.0,34814.7,145852.3,27.854891558103645
2004Q2,AT,45853.0,40635.0,147281.8,31.13283515003212
2004Q3,AT,46822.0,36625.9,148678.6,31.492090993592893
2004Q4,AT,48078.0,37759.8,149835.4,32.08721036550775
2005Q1,AT,48718.0,36310.2,151330.9,32.193028654425504
2005Q2,AT,51505.0,43587.4,154283.3,33.38339275864595
2005Q3,AT,52739.0,38573.5,156230.90000000002,33.75708646624963
2005Q4,AT,54828.0,40637.2,159108.3,34.459547364908055
2006Q1,AT,55112.0,39232.9,162031.0,34.01324437916201
2006Q2,AT,56301.0,44257.7,162701.3,34.60390298049247
2006Q3,AT,57416.0,39668.7,163796.5,35.05325205361531
2006Q4,AT,61793.0,43932.9,167092.2,36.98137914277267
2007Q1,AT,62770.0,40916.4,168775.7,37.19137292868582
2007Q2,AT,63743.0,47132.7,171650.69999999998,37.135298603501184
2007Q3,AT,64942.0,42443.9,174425.90000000002,37.231856048900994
2007Q4,AT,65897.0,44946.1,175439.1,37.561182199407085
2008Q1,AT,67720.0,43905.7,178428.4,37.95359931490727
2008Q2,AT,68149.0,49253.5,180549.19999999998,37.74539017619574
2008Q3,AT,69718.0,42894.6,180999.9,38.51825332500184
2008Q4,AT,72061.0,44976.2,181030.0,39.80610948461581
2009Q1,AT,71352.0,43664.8,180789.1,39.46698113990279
2009Q2,AT,71473.0,49667.9,181203.5,39.44349860791872
2009Q3,AT,72429.0,43523.9,181832.8,39.832747447105255
2009Q4,AT,73455.0,46158.7,183015.3,40.13598863045877
2010Q1,AT,74600.0,43773.9,183124.4,40.7373348390493
2010Q2,AT,77200.0,49548.0,183004.5,42.18475501968531
2010Q3,AT,77736.0,43883.1,183363.69999999998,42.39443248581917
2010Q4,AT,80008.0,46967.4,184172.4,43.44190551895941
2011Q1,AT,79213.0,44219.9,184618.40000000002,42.90634086309923
2011Q2,AT,82077.0,50355.9,185426.30000000002,44.26394745513446
2011Q3,AT,83030.0,42696.8,184240.0,45.06621797655232
2011Q4,AT,83960.0,49632.3,186904.90000000002,44.92124069513426
2012Q1,AT,84586.0,46784.8,189469.8,44.643526303400336
2012Q2,AT,85285.0,53390.8,192504.7,44.30281442479067
2012Q3,AT,85706.0,45389.1,195197.0,43.90743710200464
2012Q4,AT,86281.0,50315.1,195879.8,44.0479314355028
2013Q1,AT,85814.0,46855.0,195950.0,43.79382495534575
2013Q2,AT,85549.0,52625.1,195184.3,43.82985721699952
2013Q3,AT,86680.0,44271.8,194067.0,44.66498683444377
2013Q4,AT,87622.0,51289.3,195041.2,44.92486715627262
2014Q1,AT,87835.0,47481.0,195667.2,44.88999689268308
2014Q2,AT,88589.0,53579.0,196621.1,45.05569341235503
2014Q3,AT,89680.0,46135.1,198484.4,45.18239216784795
2014Q4,AT,90710.0,52839.9,200035.0,45.34706426375384
2015Q1,AT,93861.0,48520.1,201074.1,46.679806101332794
