quarter,country,rent_index
2002Q1,AT,42.913333333333334
2002Q2,AT,43.11666666666667
2002Q3,AT,44.24333333333334
2002Q4,AT,45.21333333333333
2003Q1,AT,45.629999999999995
2003Q2,AT,45.75333333333333
2003Q3,AT,45.85666666666666
2003Q4,AT,45.89000000000001
2004Q1,AT,45.846666666666664
2004Q2,AT,46.02333333333333
2004Q3,AT,47.776666666666664
2004Q4,AT,49.85999999999999
2005Q1,AT,49.61666666666667
2005Q2,AT,48.34
2005Q3,AT,48.699999999999996
2005Q4,AT,49.29
2006Q1,AT,49.50333333333333
2006Q2,AT,50.1
2006Q3,AT,50.276666666666664
2006Q4,AT,50.50666666666666
2007Q1,AT,50.826666666666675
2007Q2,AT,51.04999999999999
2007Q3,AT,51.23666666666666
2007Q4,AT,51.19
2008Q1,AT,51.373333333333335
2008Q2,AT,51.416666666666664
2008Q3,AT,51.76666666666667
2008Q4,AT,52.343333333333334
2009Q1,AT,53.13666666666666
2009Q2,AT,53.71333333333333
2009Q3,AT,54.46333333333333
2009Q4,AT,55.303333333333335
2010Q1,AT,55.74333333333334
2010Q2,AT,55.96666666666667
2010Q3,AT,56.586666666666666
2010Q4,AT,56.85333333333333
2011Q1,AT,57.16
2011Q2,AT,57.68666666666667
2011Q3,AT,58.57333333333333
2011Q4,AT,59.10666666666666
2012Q1,AT,59.63333333333333
2012Q2,AT,60.56333333333333
2012Q3,AT,61.0
2012Q4,AT,61.53333333333333
2013Q1,AT,62.02333333333333
2013Q2,AT,62.330000000000005
2013Q3,AT,62.73
2013Q4,AT,63.169999999999995
2014Q1,AT,63.923333333333325
2014Q2,AT,64.62666666666667
2014Q3,AT,65.38333333333334
2014Q4,AT,66.26333333333334
2015Q1,AT,67.14666666666666
2015Q2,AT,67.81333333333333
2015Q3,AT,68.3
2015Q4,AT,68.38666666666667
2016Q1,AT,68.87333333333333
2016Q2,AT,69.71333333333332
2016Q3,AT,70.37333333333333
2016Q4,AT,71.08333333333333
2017Q1,AT,71.70333333333333
2017Q2,AT,72.45333333333333
2017Q3,AT,73.33666666666666
2017Q4,AT,74.13333333333333
2018Q1,AT,74.66333333333334
2018Q2,AT,75.19333333333333
2018Q3,AT,75.99
2018Q4,AT,76.65333333333334
2019Q1,AT,77.05
2019Q2,AT,77.67
2019Q3,AT,78.24
2019Q4,AT,78.51
2020Q1,AT,79.26333333333334
2020Q2,AT,80.27666666666667
2020Q3,AT,81.82666666666667
2020Q4,AT,82.88666666666667
2021Q1,AT,83.56
2021Q2,AT,83.37666666666667
2021Q3,AT,82.17
2021Q4,AT,81.50333333333333
2022Q1,AT,81.75333333333333
2022Q2,AT,82.66666666666667
2022Q3,AT,83.77
2022Q4,AT,85.16000000000001
2023Q1,AT,86.94666666666667
2023Q2,AT,88.7
2023Q3,AT,90.80333333333334
2023Q4,AT,93.06
2024Q1,AT,94.46999999999998
2024Q2,AT,95.27
2024Q3,AT,96.38666666666666
2024Q4,AT,97.37
2025Q1,AT,98.43666666666667
2025Q2,AT,99.11333333333334
2025Q3,AT,100.65333333333335
2025Q4,AT,101.79333333333334
2026Q1,AT,102.69
2026Q2,AT,103.83
2002Q1,BE,61.18666666666667
2002Q2,BE,61.59
2002Q3,BE,61.88333333333333
2002Q4,BE,62.129999999999995
2003Q1,BE,62.60666666666666
2003Q2,BE,62.96333333333333
2003Q3,BE,63.196666666666665
2003Q4,BE,63.39000000000001
2004Q1,BE,63.86333333333334
2004Q2,BE,64.18
2004Q3,BE,64.33999999999999
2004Q4,BE,64.52333333333333
2005Q1,BE,64.99666666666667
2005Q2,BE,65.35333333333334
2005Q3,BE,65.65666666666667
2005Q4,BE,65.95
2006Q1,BE,66.42666666666666
2006Q2,BE,66.71999999999998
2006Q3,BE,67.04666666666667
2006Q4,BE,67.24666666666667
2007Q1,BE,67.7
2007Q2,BE,68.04
2007Q3,BE,68.31333333333333
2007Q4,BE,68.54666666666667
2008Q1,BE,68.97666666666667
