"DATE","TIME PERIOD","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.AT.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.BE.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.DE.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.ES.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.FI.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.FR.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.GR.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.IE.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.IT.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.NL.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase to euro area households granted by MFIs excluding NCB, Stocks (BSI.M.PT.N.A.A22.A.1.U2.2250.Z01.E)"
"2003-01-31","2003Jan","35927.00","65027.00","913276.00","239000.00","31449.00","351330.00","21435.00","43866.00","132366.00","285393.00","65688.00"
"2003-02-28","2003Feb","36088.00","65115.00","914664.00","242451.00","31724.00","353173.00","21895.00","44629.00","134721.00","287888.00","65689.00"
"2003-03-31","2003Mar","36366.00","65435.00","921356.00","245865.00","32050.00","355351.00","22199.00","45540.00","136956.00","289711.00","66304.00"
"2003-04-30","2003Apr","36164.00","65910.00","921416.00","250239.00","32429.00","357467.00","22579.00","45648.00","137723.00","291159.00","66781.00"
"2003-05-31","2003May","36134.00","66415.00","923697.00","254067.00","32943.00","358873.00","23013.00","46586.00","140476.00","292755.00","67244.00"
"2003-06-30","2003Jun","36428.00","67386.00","924700.00","257531.00","33514.00","362184.00","23534.00","46963.00","141114.00","293522.00","68076.00"
"2003-07-31","2003Jul","36917.00","68013.00","926521.00","261996.00","33898.00","368154.00","24093.00","48426.00","144457.00","296793.00","68372.00"
"2003-08-31","2003Aug","37688.00","68470.00","928684.00","264896.00","34334.00","371047.00","24401.00","49529.00","145214.00","299141.00","69030.00"
"2003-09-30","2003Sep","38752.00","69087.00","930259.00","265990.00","34868.00","375041.00","24873.00","50940.00","147686.00","295621.00","69081.00"
"2003-10-31","2003Oct","39222.00","70001.00","933729.00","270471.00","35284.00","378256.00","25390.00","52086.00","150837.00","296623.00","68941.00"
"2003-11-30","2003Nov","39495.00","70691.00","935754.00","275020.00","35666.00","380238.00","25639.00","53401.00","152087.00","299003.00","67740.00"
"2003-12-31","2003Dec","39746.00","71710.00","937379.00","277573.00","36049.00","385078.00","26364.00","55012.00","154374.00","302392.00","66485.00"
"2004-01-31","2004Jan","39816.00","72215.00","936871.00","280389.00","36299.00","388593.00","26728.00","55926.00","155778.00","304665.00","67000.00"
"2004-02-29","2004Feb","39784.00","72691.00","935607.00","284541.00","36667.00","391408.00","27160.00","56966.00","158296.00","305832.00","67596.00"
"2004-03-31","2004Mar","40627.00","73297.00","931475.00","290334.00","37164.00","395548.00","27719.00","58270.00","160120.00","308837.00","68375.00"
"2004-04-30","2004Apr","41666.00","73871.00","932197.00","295258.00","37568.00","398443.00","28287.00","59631.00","163333.00","311314.00","69093.00"
"2004-05-31","2004May","42348.00","74629.00","933558.00","300533.00","38070.00","402052.00","28901.00","60923.00","165881.00","314142.00","69906.00"
"2004-06-30","2004Jun","45853.00","75540.00","938066.00","303232.00","38793.00","408458.00","28855.00","62293.00","168231.00","314908.00","70774.00"
"2004-07-31","2004Jul","46083.00","76352.00","940461.00","306802.00","39178.00","415171.00","29640.00","66154.00","172489.00","318126.00","71686.00"
"2004-08-31","2004Aug","46296.00","77010.00","942649.00","310738.00","39572.00","418606.00","30063.00","67444.00","173300.00","321043.00","72375.00"
"2004-09-30","2004Sep","46822.00","78011.00","946700.00","316791.00","40178.00","422246.00","30648.00","69094.00","175844.00","325065.00","73156.00"
"2004-10-31","2004Oct","47404.00","78739.00","947774.00","322960.00","40640.00","425270.00","31221.00","70520.00","179000.00","327571.00","73854.00"
"2004-11-30","2004Nov","47928.00","79570.00","948440.00","329263.00","41021.00","427902.00","31954.00","72127.00","181760.00","329712.00","73220.00"
"2004-12-31","2004Dec","48078.00","80440.00","949457.00","335665.00","41544.00","432396.00","32944.00","73739.00","185016.00","331742.00","71139.00"
"2005-01-31","2005Jan","48155.00","81292.00","947170.00","342175.00","41833.00","435911.00","33482.00","74753.00","186444.00","334672.00","71831.00"
"2005-02-28","2005Feb","48413.00","82044.00","946710.00","348497.00","42198.00","439132.00","34089.00","75857.00","188233.00","334794.00","72556.00"
"2005-03-31","2005Mar","48718.00","82905.00","946567.00","353692.00","42806.00","443843.00","34898.00","77257.00","188703.00","337829.00","73502.00"
"2005-04-30","2005Apr","49139.00","83886.00","946620.00","359958.00","43442.00","447095.00","35685.00","78897.00","192112.00","341012.00","74719.00"
"2005-05-31","2005May","49447.00","85118.00","947275.00","365698.00","44117.00","451683.00","36417.00","80568.00","196135.00","344244.00","75736.00"
"2005-06-30","2005Jun","51505.00","87346.00","948569.00","397093.00","44997.00","459740.00","35909.00","82687.00","199600.00","347966.00","76739.00"
"2005-07-31","2005Jul","51656.00","88619.00","951271.00","407706.00","45540.00","467564.00","37042.00","84508.00","204168.00","351760.00","77830.00"
"2005-08-31","2005Aug","52153.00","89359.00","953105.00","412792.00","46128.00","472282.00","37654.00","86570.00","205287.00","355763.00","78680.00"
"2005-09-30","2005Sep","52739.00","90700.00","955216.00","421193.00","46901.00","477642.00","38825.00","88589.00","206984.00","356937.00","78585.00"
"2005-10-31","2005Oct","53876.00","92090.00","956604.00","430228.00","47482.00","480439.00","39802.00","90511.00","210348.00","364823.00","79518.00"
"2005-11-30","2005Nov","54180.00","93208.00","959266.00","439350.00","48008.00","485854.00","41045.00","91197.00","213649.00","364722.00","80658.00"
"2005-12-31","2005Dec","54828.00","94732.00","961186.00","450982.00","48490.00","495105.00","43001.00","94776.00","217221.00","361198.00","79488.00"
"2006-01-31","2006Jan","54938.00","95844.00","967706.00","458371.00","48795.00","500416.00","43809.00","96345.00","217410.00","362698.00","80523.00"
"2006-02-28","2006Feb","54948.00","97009.00","968246.00","466591.00","49202.00","505607.00","44672.00","98446.00","220805.00","359990.00","81329.00"
"2006-03-31","2006Mar","55112.00","98342.00","968337.00","477449.00","49758.00","512360.00","45720.00","100617.00","225334.00","363975.00","86092.00"
"2006-04-30","2006Apr","55306.00","99297.00","968459.00","484786.00","50261.00","516578.00","46412.00","102523.00","228576.00","368250.00","86785.00"
"2006-05-31","2006May","55829.00","100643.00","968901.00","494211.00","50889.00","521380.00","46341.00","104753.00","229592.00","371396.00","88159.00"
"2006-06-30","2006Jun","56301.00","102248.00","969945.00","504535.00","51726.00","531165.00","46731.00","105008.00","232636.00","371098.00","89098.00"
"2006-07-31","2006Jul","56602.00","103336.00","971094.00","513797.00","52222.00","540102.00","47969.00","105995.00","237245.00","371257.00","90023.00"
"2006-08-31","2006Aug","56910.00","104362.00","972965.00","518887.00","52882.00","545322.00","47942.00","106579.00","236055.00","370797.00","90877.00"
"2006-09-30","2006Sep","57416.00","105333.00","975100.00","525856.00","53672.00","552022.00","48948.00","108667.00","239472.00","371183.00","90410.00"
"2006-10-31","2006Oct","59210.00","105633.00","975304.00","532268.00","54289.00","556973.00","49732.00","110739.00","239784.00","370495.00","91278.00"
"2006-11-30","2006Nov","60139.00","106412.00","975870.00","541907.00","54855.00","561757.00","50482.00","112991.00","243628.00","369517.00","92430.00"
"2006-12-31","2006Dec","61793.00","107378.00","976123.00","551506.00","55307.00","569975.00","52313.00","111403.00","244409.00","369642.00","91916.00"
"2007-01-31","2007Jan","61813.00","107914.00","973114.00","556586.00","55691.00","575197.00","53301.00","112865.00","246233.00","372441.00","92627.00"
"2007-02-28","2007Feb","62064.00","108504.00","972492.00","563407.00","56187.00","580171.00","54404.00","114311.00","249324.00","374966.00","93338.00"
"2007-03-31","2007Mar","62770.00","109384.00","971999.00","573826.00","56782.00","586755.00","55975.00","113209.00","249273.00","375519.00","94412.00"
"2007-04-30","2007Apr","62647.00","110039.00","970157.00","580258.00","57290.00","590842.00","56991.00","114581.00","247851.00","377057.00","95196.00"
"2007-05-31","2007May","63263.00","110976.00","969211.00","587322.00","58043.00","597242.00","58051.00","116274.00","251647.00","379903.00","96246.00"
"2007-06-30","2007Jun","63743.00","112179.00","970016.00","596619.00","58868.00","605984.00","57922.00","116598.00","254564.00","377249.00","97253.00"
"2007-07-31","2007Jul","63979.00","109282.00","968595.00","605210.00","59375.00","613634.00","57937.00","118457.00","258771.00","380572.00","97307.00"
"2007-08-31","2007Aug","64439.00","110119.00","969230.00","608065.00","60021.00","619089.00","58833.00","120013.00","260432.00","379810.00","98407.00"
"2007-09-30","2007Sep","64942.00","110978.00","969862.00","612786.00","60641.00","625162.00","59883.00","121460.00","263073.00","378369.00","99405.00"
"2007-10-31","2007Oct","65018.00","112004.00","968744.00","618530.00","61245.00","630574.00","60817.00","122831.00","266712.00","373560.00","100433.00"
"2007-11-30","2007Nov","65500.00","112816.00","968952.00","624312.00","61785.00","636254.00","61931.00","124401.00","268452.00","374025.00","101426.00"
"2007-12-31","2007Dec","65897.00","113746.00","967492.00","626573.00","62173.00","643142.00","63385.00","124019.00","265560.00","379015.00","101106.00"
"2008-01-31","2008Jan","66568.00","114459.00","965151.00","629977.00","62574.00","647830.00","64170.00","124995.00","266134.00","379246.00","101894.00"
"2008-02-29","2008Feb","66888.00","115226.00","964312.00","634430.00","63063.00","653244.00","63952.00","125929.00","268324.00","381067.00","102596.00"
"2008-03-31","2008Mar","67720.00","115980.00","962903.00","638070.00","63510.00","658172.00","64883.00","125410.00","259955.00","382864.00","103319.00"
"2008-04-30","2008Apr","67205.00","116853.00","962265.00","642947.00","64184.00","660095.00","64773.00","126370.00","256590.00","383531.00","104134.00"
"2008-05-31","2008May","67195.00","117725.00","962239.00","646543.00","64875.00","663153.00","65549.00","127849.00","257164.00","384350.00","104843.00"
"2008-06-30","2008Jun","68149.00","103728.00","962159.00","648319.00","65534.00","670467.00","66709.00","121553.00","256259.00","379029.00","105560.00"
