Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,REF_AREA_TXT:Reference area,"AT:Austria,BE:Belgium,BG:Bulgaria,HR:Croatia,CY:Cyprus,EE:Estonia,XM:Euro area,FI:Finland,FR:France,DE:Germany,GR:Greece,IE:Ireland,IT:Italy,LV:Latvia,LT:Lithuania,LU:Luxembourg,MT:Malta,NL:Netherlands,PT:Portugal,SK:Slovakia,SI:Slovenia,ES:Spain",2026-05-28,2026-05-28 14:14 CEST,BIS,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP
,,UNIT_MEASURE:Unit of measure,"628:Index, 2010 = 100",,,,,,
,,VALUE:Value,"628,R",,,,,,
,,TOPIC:Topic,RPP:Property prices / Residential property prices,,,,,,
,,DATAFLOW_ID:Dataflow Id,"BIS,WS_SPP,1.0:",,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1986-09-30,F:Free,,A:Normal value,56.8446
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1986-12-31,F:Free,,A:Normal value,53.7156
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1987-03-31,F:Free,,A:Normal value,58.0007
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1987-06-30,F:Free,,A:Normal value,63.1117
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1987-09-30,F:Free,,A:Normal value,55.316
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1987-12-31,F:Free,,A:Normal value,60.6391
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1988-03-31,F:Free,,A:Normal value,57.4351
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1988-06-30,F:Free,,A:Normal value,61.3832
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1988-09-30,F:Free,,A:Normal value,72.356
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1988-12-31,F:Free,,A:Normal value,67.8542
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1989-03-31,F:Free,,A:Normal value,69.0073
